Frequency,Pattern
8,"hklm\system\currentcontrolset\control\pnp\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
8,"c:\$secure:$sds:$data,hklm\software\microsoft\windows\currentversion\*"
7,"hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
7,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode"
7,"c:\$directory,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
7,"hklm\system\currentcontrolset\control\session manager\*,c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys"
7,"c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*"
7,"c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
7,"hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory"
7,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun"
7,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts"
7,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows"
7,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
7,"c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc"
7,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\win32k.sys,c:\windows\system32\win32kbase.sys"
7,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys"
7,"c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,hklm\system\currentcontrolset\control\graphicsdrivers"
7,"hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode"
7,"hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts"
7,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*"
7,"hklm\system\currentcontrolset\control\pnp\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
7,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\$secure:$sii:$index_allocation"
7,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}"
7,"c:\windows\system32\win32k.sys,hklm\software\microsoft\windows\currentversion\*,c:\windows\system32\catroot\{*}\*"
7,"c:\$secure:$sii:$index_allocation,c:\$secure:$sds:$data,c:\windows\system32\win32k.sys"
7,"c:\$secure:$sds:$data,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun"
7,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers"
7,"c:\windows\system32\win32kfull.sys,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers"
7,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\cryptography\*"
7,"hklm\system\currentcontrolset\control\cryptography\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
7,"hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\system\input"
7,"hklm\system\input,hklm\system\input\wakeoninputdevicetypes,hklm\software\microsoft\sqmclient\windows\*"
7,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$secure:$sds:$data"
7,"c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\system32\zh-cn"
7,"c:\$directory,c:\windows\system32\en-us\win32kbase.sys.mui,c:\windows\fonts"
7,"c:\windows\systemresources\win32kbase.sys.mun,c:\windows\system32,c:\$directory"
7,"c:\windows\system32\csrss.exe,c:\windows\system32,c:\windows\system32\wininit.exe"
7,"hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe,c:\windows\system32\winlogon.exe"
7,"c:\windows\system32\catroot\{*},c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32k.sys"
7,"c:\windows\system32\zh-cn,c:\windows\system32\zh-cn\win32kbase.sys.mui,c:\windows\fonts"
6,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*"
6,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe"
6,"hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe"
6,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize"
6,"hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe,c:\windows\system32\wininit.exe"
6,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer"
6,"hklm\system\currentcontrolset\control\session manager,hklm\system\currentcontrolset\control\session manager\*,c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys"
6,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys"
6,"c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
6,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory"
6,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts"
6,"hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun"
6,"c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
6,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
6,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers"
6,"hklm\system\currentcontrolset\control\pnp\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode"
6,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*"
6,"hklm\software\microsoft\sqmclient\windows\*,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
6,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\$secure:$sii:$index_allocation"
6,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}"
6,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\$secure:$sii:$index_allocation,c:\$secure:$sds:$data,c:\windows\system32\win32k.sys"
6,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*},c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32k.sys"
6,"c:\windows\system32\win32k.sys,hklm\software\microsoft\windows\currentversion\*,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys"
6,"c:\$secure:$sii:$index_allocation,c:\$secure:$sds:$data,c:\windows\system32\win32k.sys,hklm\software\microsoft\windows\currentversion\*,c:\windows\system32\catroot\{*}\*"
6,"c:\$secure:$sds:$data,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\system32,c:\$directory"
6,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers"
6,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers"
6,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\cryptography\*"
6,"c:\windows\system32\win32kfull.sys,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
6,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\cryptography\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
6,"hklm\system\currentcontrolset\control\cryptography\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\"
6,"hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\system\input"
6,"hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\system\input,hklm\system\input\wakeoninputdevicetypes,hklm\software\microsoft\sqmclient\windows\*"
6,"hklm\system\input,hklm\system\input\wakeoninputdevicetypes,hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
6,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$secure:$sds:$data"
6,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$secure:$sds:$data,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun"
6,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\system32\zh-cn"
6,"c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\system32\zh-cn,c:\windows\system32\zh-cn\win32kbase.sys.mui,c:\windows\fonts"
6,"c:\$directory,c:\windows\system32\en-us\win32kbase.sys.mui,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows"
6,"c:\windows\systemresources\win32kbase.sys.mun,c:\windows\system32,c:\$directory,c:\windows\system32\en-us\win32kbase.sys.mui,c:\windows\fonts"
6,"hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe,c:\windows\system32\winlogon.exe"
6,"c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe,c:\windows\system32,c:\windows\system32\wininit.exe"
6,"c:\windows\system32\catroot\{*},c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32k.sys,c:\windows\system32\win32kbase.sys,c:\windows\system32\catroot\{*}\*"
6,"c:\windows\system32\zh-cn,c:\windows\system32\zh-cn\win32kbase.sys.mui,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows"
5,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
5,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize"
5,"c:\$directory,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*"
5,"c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode"
5,"hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory"
5,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun"
5,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows"
5,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc"
5,"c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
5,"c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\win32k.sys,c:\windows\system32\win32kbase.sys"
5,"c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys"
5,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc"
5,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
5,"hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*"
5,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\$secure:$sii:$index_allocation,c:\$secure:$sds:$data,c:\windows\system32\win32k.sys"
5,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*},c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32k.sys"
5,"c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\$secure:$sii:$index_allocation"
5,"c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}"
5,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\$secure:$sii:$index_allocation,c:\$secure:$sds:$data,c:\windows\system32\win32k.sys,hklm\software\microsoft\windows\currentversion\*,c:\windows\system32\catroot\{*}\*"
5,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*},c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32k.sys,c:\windows\system32\win32kbase.sys,c:\windows\system32\catroot\{*}\*"
5,"c:\windows\system32\win32k.sys,hklm\software\microsoft\windows\currentversion\*,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers"
5,"c:\windows\system32\win32k.sys,c:\windows\system32\win32kbase.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers"
5,"c:\$secure:$sii:$index_allocation,c:\$secure:$sds:$data,c:\windows\system32\win32k.sys,hklm\software\microsoft\windows\currentversion\*,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys"
5,"c:\$secure:$sds:$data,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\system32,c:\$directory,c:\windows\system32\en-us\win32kbase.sys.mui,c:\windows\fonts"
5,"hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe,c:\windows\system32\winlogon.exe"
5,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\cryptography\*"
5,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
5,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\cryptography\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
